"LIBRARYREFERENCE","FOOTPRINT1","ADJUSTMENT TYPE","CATEGORY","COIL POWER","COIL TYPE","COIL VOLTAGE","COLOR","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","CONTACT FORM","CONTACT RATING","CURRENT - CONT DRAIN","CURRENT - SATURATION","CURRENT RATING","CURRENT TRANSFER RATIO","DC FORWARD CURRENT","DC FOWARD CURRENT","DC RESISTANCE (DCR)","DELAY TIME","DIGIKEY PART NUMBER","DIGIKEY PN","DRAIN TO SOURCE VOLTAGE (VDSS)","FET TYPE","FORWARD VOLTAGE","FREQUENCY","FREQUENCY - SELF RESONANT","FREQUENCY - TEST","HEIGHT - SEATED (MAX)","IMPEDENCE (MAX)","INDUCTANCE","ISOLATION","ISOLATION VOLTAGE","LOGIC LEVEL - HIGH","LOGIC LEVEL - LOW","MANFACTURER","MANUFACTURE","MANUFACTURE PART NUMBER","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER PN","MANUFACTURER_PN","MANUFACTURERPARTNUMBER","MATERIAL - CORE","MFG","MFG_PN","MOUNTING TYPE","OPERATE TIME","OPERATING TEMPERATURE","OUTPUT TYPE","PACKAGE","PACKAGE / CASE","PACKAGE/CASE","PACKAGING","PITCH","POWER","POWER (MAX)","POWER (W)","PRICING 1","Q @ FREQ","RDS ON (MAX) @ ID, VGS","RESISTANCE","REVERSE_STANDOFF_VOLTAGE","ROHS","SHIELDING","SIZE / DIMENSION","STOCK 1","SUPPLIER","SUPPLIER 1","SUPPLIER DEVICE PACKAGE","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","SUPPLIER PN","SUPPLIER_PN","SUPPLIERPARTNUMBER","SUPPLY VOLTAGE","SWITCHING VOLTAGE","TOLERANCE","TOLERENCE","TURNS","TYPE","VALUE","VENDOR","VENDOR PART NUMBER","VGS","VOLTAGE","VOLTAGE - FORWARD","VOLTAGE - SUPPLY'","VOLTAGE - ZENER (NOM)","VOLTAGE SUPPLY","SHEETPART","DESIGNATOR","DESCRIPTION"
"RES SMD 820 OHM 5% 1/4W 0603","RES_0603","","","","","","","820 Ohm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rohm Semiconductor","ESR03EZPJ821","","","","","","","","","","","","","0603","","","","","1/10W","","","","","","","","","","","","","Digi-Key","","","RHM820DCT-ND","","","","","","","5%","","","820 Ohm","","","","","","","","","*","R?","RES SMD 820 OHM 5% 1/4W 0603"
"RM-1212S DCDC","RM-1212S","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","945-1209-ND","","","","","","","","","","","","","","","","","","","*","*",""
"Relay-SPDT","RELAY_SPDT","","","140 mW","Non Latching","12V","","Relay-SPDT","","","SPDT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1462042-9","","","","","","","","3ms","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","PB1250CT-ND","","","","","250VAC, 220VDC","","","","","","","","","","","","","","","K?","Telecom Relay SPDT (1 Form C) Surface Mount"
"Relay-SPST","RELAY-SPST","","","","11.7mA","12VDC","","Relay-SPST","","","SPST-NO","2A","","","","","","","","","","","","","","","","","","","","","","","","","TE Connectivity Potter & Brumfield Relays","1462041-3","","","","","","","","","","3ms","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","PB1248CT-ND","","","","","250VAC, 220VDC - Max","","","","","","","","","","","","","","","K?","Telecom Relay SPST-NO (1 Form A) Surface Mount"
"SD_Reader","","","","","","","","*","","","","","","","","","","","","","","101-00313-68-02CT-ND","","","","","","","","","","","","","","","","","","","101-00313-68-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"STM32F072CBT6","QFN50P700X700X60_HS-49N","","","","","","","STM32F072CBT6","","","","","","","","","","","","","497-14645-ND","","","","","","","","","","","","","","","","","","","STM32F072CBT6","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","497-14645-ND","","","","","","","","","","","","","","","","","","","","","U?",""
"STM32F072CBT6_QFP","TSQFP50P890X890X160-48M","","","","","","","STM32F072CBT6_QFP","","","","","","","","","","","","","497-14645-ND","","","","","","","","","","","","","","","","","","","STM32F072CBT6","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","497-14645-ND","","","","","","","","","","","","","","","","","","","","","U?",""
"Schottky Diode 60V 3A","SMA","","","","","","","60V 3A","","","","","","","","","","","","","B360A-FDICT-ND","","","","","","","","","","","","","","","","","","","B360A-13-F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","B360A-FDICT-ND","","","","","","","","","","","","","","","","","","","","D?","DIODE SCHOTTKY 60V 3A SMA"
"TCAN332DR CAN Transceiver","SOIC8","","","","","","","TCAN332DR CAN Transceiver","","","","","","","","","","","","","296-43711-1-ND","","","","","","","","","","","","","","","","","","","TCAN332DR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","296-43711-1-ND","","","","","","","","","","","","","","","","","","","","U?","1/1 Transceiver CAN 8-SOIC"
"TCAN332DR CAN Transceiver_SOT","TSOP65P280X145-8N","","","","","","","TCAN332DR CAN Transceiver_SOT","","","","","","","","","","","","","296-43711-1-ND","","","","","","","","","","","","","","","","","","","TCAN332DR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","296-43711-1-ND","","","","","","","","","","","","","","","","","","","","U?","1/1 Transceiver CAN 8-SOIC"
"Test Point","Test Point","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","TP?",""
"XBee","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
