"LIBRARYREFERENCE","FOOTPRINT1","ADJUSTMENT TYPE","CATEGORY","COIL POWER","COIL TYPE","COIL VOLTAGE","COLOR","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","CONTACT FORM","CONTACT RATING","CURRENT - CONT DRAIN","CURRENT - SATURATION","CURRENT RATING","CURRENT TRANSFER RATIO","DC FORWARD CURRENT","DC FOWARD CURRENT","DC RESISTANCE (DCR)","DELAY TIME","DIGIKEY PART NUMBER","DIGIKEY PN","DRAIN TO SOURCE VOLTAGE (VDSS)","FET TYPE","FORWARD VOLTAGE","FREQUENCY","FREQUENCY - SELF RESONANT","FREQUENCY - TEST","HEIGHT - SEATED (MAX)","IMPEDENCE (MAX)","INDUCTANCE","ISOLATION","ISOLATION VOLTAGE","LOGIC LEVEL - HIGH","LOGIC LEVEL - LOW","MANFACTURER","MANUFACTURE","MANUFACTURE PART NUMBER","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER PN","MANUFACTURER_PN","MANUFACTURERPARTNUMBER","MATERIAL - CORE","MFG","MFG_PN","MOUNTING TYPE","OPERATE TIME","OPERATING TEMPERATURE","OUTPUT TYPE","PACKAGE","PACKAGE / CASE","PACKAGE/CASE","PACKAGING","PITCH","POWER","POWER (MAX)","POWER (W)","PRICING 1","Q @ FREQ","RDS ON (MAX) @ ID, VGS","RESISTANCE","REVERSE_STANDOFF_VOLTAGE","ROHS","SHIELDING","SIZE / DIMENSION","STOCK 1","SUPPLIER","SUPPLIER 1","SUPPLIER DEVICE PACKAGE","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","SUPPLIER PN","SUPPLIER_PN","SUPPLIERPARTNUMBER","SUPPLY VOLTAGE","SWITCHING VOLTAGE","TOLERANCE","TOLERENCE","TURNS","TYPE","VALUE","VENDOR","VENDOR PART NUMBER","VGS","VOLTAGE","VOLTAGE - FORWARD","VOLTAGE - SUPPLY'","VOLTAGE - ZENER (NOM)","VOLTAGE SUPPLY","SHEETPART","DESIGNATOR","DESCRIPTION"
"CONN HEADER 6POS .100 STR TIN","CONN HEADER 6POS .100" VERT TIN","","","","","","","Debug_Header","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Molex, LLC","0015912060","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digikey","","","WM17449-ND","","","","","","","","","","","","","","","","","","","","","P?","6 Positions Header, Unshrouded, Breakaway Connector 0.100" (2.54mm) Surface Mount Tin"
"CONN HEADER 8POS .100" SNGL SMD","CONN HEADER 8POS .100" SNGL SMD","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Samtec","TSM-108-01-T-SH","","","","","","","","","","","","","","","","","","","","","","Digikey","","","","","","SAM10816-ND","","","","","","","","","","","","","","","","","*","P?","8 Positions Header Connector 0.100" (2.54mm) Surface Mount, Right Angle Tin"
"CONN, 10POS 0.05" Debug Header 20021121-00010C4LF","10 POS 1.27MM RECT CONN","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Amphenol FCI","20021121-00010C4LF","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digikey","","","","","","","609-3695-1-ND","","","","","","","","","","","","","","","","*","J?","10 Positions Header Connector 0.050" (1.27mm) Surface Mount Gold"
"CONN, 16POS 0.1" Header","CONN HEADER .100" SNGL STR 16POS","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sullins Connector Solutions","PRPC016SAAN-RC","","","","","","","","","","","","","","","","","","","","","","Digikey","","","","","","S1011EC-16-ND","","","","","","","","","","","","","","","","","*","P?","16 Positions Header, Breakaway Connector 0.100" (2.54mm) Through Hole Gold"
"CONN, 16POS 0.1" S2012EC","16POS 0.100" Header","","","","","","","16POS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.100"","","","","","","","","","","","","","","Digi-Key","","","S2012EC-08-ND","","","","","","","","","","","","","","","","","","","*","P*","CONN HEADER .100" DUAL STR 16POS"
"CONN, 2POS DURA-CLIK 5023520200","2 POS Dura-Click","","","","","","","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Molex","5023520200","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","WM7169CT-ND","","","","","","","","","","","","","","","","","","","","","P?","2 Positions Header, Shrouded Connector 0.079" (2.00mm) Surface Mount, Right Angle Tin"
"CONN, 2POS ULTRA-FIT 1722861302","WM11673-ND","","","","","","","*","","","","","","","","","","","","","","WM11673-ND","","","","","","","","","","","","","","","","","","","1722861302","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","P?","2 Positions Header, Shrouded Connector 0.138" (3.50mm) Through Hole Gold"
"CONN, 3POS DURA-CLIK, 5023520300","3 POS Dura-Click","","","","","","","CAN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Molex","5023520300","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","WM10858CT-ND","","","","","","","","","","","","","","","","","","","","","P?","3 Positions Header, Shrouded Connector 0.079" (2.00mm) Surface Mount, Right Angle Tin"
"CONN, 3POS ULTRA-FIT, 1722871103","","","","","","","","3 POS VERT ULTRA-FIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Molex LLC","172287-1103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","WM11702-ND","","","","","","","","","","","","","","","","","","","*","P?","3 Positions Header Connector 0.138" (3.50mm) Through Hole Tin"
"CONN, 4POS ULTRA-FIT, 1722871104","4 POS ULTRA-FIT","","","","","","","4POS VERT ULTRA-FIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Molex LLC","1722871104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","WM11703-ND","","","","","","","","","","","","","","","","","","","*","P?","4 Positions Header Connector 0.138" (3.50mm) Through Hole Tin"
"CONN, 5POS ULTRA-FIT, 1722871105","5 POS ULTRA-FIT","","","","","","","5 POS VERT ULTRA-FIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Molex LLC","1722871105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","WM11704-ND","","","","","","","","","","","","","","","","","","","*","*","5 Positions Header Connector 0.138" (3.50mm) Through Hole Tin"
"CRYSTAL 32 MHz 4-SMD","CX2520DB CRYSTAL","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","AVX Corp/Kyocera Corp","","","","","CX2520DB32000D0GPSC1","","","","","","","","","","","","","","","","","","","","","","","","","","","Digikey","","","","","1253-1730-1-ND","","","","","","","","","","","","","","","","","","*","Y?","32MHz ±15ppm Crystal 8pF 50 Ohm -40°C ~ 85°C AEC-Q200 Surface Mount 4-SMD, No Lead"
"CRYSTAL 32.000 MHZ 18PF +-30ppm SMD","HC49","","","","","","","=Frequency","","","","","","","","","","","","","","","","","","32MHz","","","","","","","","","","","","","Abracon LLC","","","","ABLS2-32.000MHZ-D4YF-T","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","Digi-Key","","","535-9888-1-ND","","","535-9888-1-ND","","","","","","","","","","","","","","","","","Y?","32MHz ±30ppm Crystal 18pF 40 Ohm -40°C ~ 85°C Surface Mount HC49/US"
"CRYSTAL 32.768 kHz 6pF +-20ppm SMD 4-SOJ","4-SOJ","","","","","","","=VALUE","","","","","","","","","","","","","535-10240-1-ND","","","","","","","","","","","","","","","","","","","ABS25-32.768KHZ-6-T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","535-10240-1-ND","","","","","","","","","","32.769 kHz","","","","","","","","","*","Y?","32.768kHz ±20ppm Crystal 6pF 50 kOhm -40°C ~ 85°C Surface Mount 4-SOJ, 5.50mm pitch"
"CRYSTAL 32.768KHZ 9PF 2-SMD","ABS07AIG CRYSTAL","","","","","","","=VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ABS07AIG-32.768KHZ-9-1-T","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","535-13353-1-ND","","","","","","","","","","","32.768 kHz","","","","","","","","","","Y?","32.768kHz ±20ppm Crystal 6pF 50 kOhm -40°C ~ 85°C Surface Mount 4-SOJ, 5.50mm pitch"
"DIODE, 16V Zener, SMBJ5353B-TP","DO-214AA Diode","","","","","","","DIODE, 16V Zener, SMBJ5353B-TP","","","","","","","","","","","","","","","","","","","","","","2.5 Ohm","","","","","","","Micro Commercial Co","SMBJ5353B-TP","","","","","","","","","","","","","","","","","","","5W","","","","","","","","","","","","Digi-Key","","","SMBJ5353B-TPMSCT-ND","","","","","","","","","","","","","","","1.2V @ 1A","","16V","","*","*","Zener Diode 16V 5W ±5% Surface Mount DO-214AA (SMB)"
"DIODE, 40V 3A Schottky, CDBB340-HF","DO-214AA Diode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Comchip Technology","CDBB340-HF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","641-1722-1-ND","","","","","","","","","","","","","","","500mV @ 3A","","40","","*","*","Diode Schottky 40V 3A Surface Mount DO-214AA (SMB)"
"DIODE, TVS Diode","SOT23","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24V","","","","","Digikey","","","","","","568-4032-1-ND","","","","","","","","","","","","","","","","","*","D?","TVS DIODE 24VWM 70VC SOT23"
"FOD817 Optoisolator","FOD817DS OPTOISOLATOR","","","","","","","OPTOISOLATOR","","","","","","","","300-600%","","","","","","","","","","","","","","","","","","","","","Fairchild/ON Semiconductor","FOD817DS","","","","","","","","","","","","Transistor","","","","","","","","","","","","","","","","","","","Digi-Key","","","FOD817DS-ND","","","","","","","","","","","","","","","1.2V Typ","","","","*","U?","OPTOISOLATOR 5KV TRANSISTOR 4SMD"
"GPS","","","","","","","","*","","","","","","","","","","","","","","EVM-GPS-F4-ND","","","","","","","","","","","","","","","","","","","EVM-GPS-F4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*","GPS Module"
"H11L1S","H11LS","","","","","","","OPTOISOLATOR","","","","","","","","","","","","","","","","","","","","","","","","5000Vrms","","","","","Everlight Electronics Co Ltd","H11L1S(TA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","1080-1201-6-ND","","","","","","","","","","","","","","","","","","3-16V","*","U?","OPTOISO 5KV OPEN COLLECTOR 6SMD"
"IC, 12V-12V 84mA Isolated DCDC, ISE1212A-TR","1470-2950-1-ND/Isolated DCDC","","","","","","","12V-12V Isolated DCDC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XP Power","ISE1212A-TR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","1470-2950-1-ND","","","","","","","","","","","","","","","","","","","*","U?","Isolated Module DC DC Converter 1 Output 12V 84mA 10.8V - 13.2V Input"
"IC, 1CH AND Gate, BU4S81G2","2-Input AND Gate","","","","","","","AND Gate","","","","","","","","","","","","","","","","","","","","","","","","","","3.5V ~ 11V","1.5V ~ 4V","","Rohm Semiconductor","BU4S81G2-TR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","BU4S81G2CT-ND","","","","","","","","","","","","","","","","3V ~ 16V","","","*","U?","IC GATE AND 1CH 2-INP 5-SSOP"
"IC, LTC6820IUD#PBF","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Linear Technology","","","LTC6820IUD#PBF","","","","","","","","","","","","","","","","","","","","","","","","","","Digikey","","","","","","LTC6820IUD#PBF-ND","","","","","","","","","","","","","","","","","*","U?","IC COMM INTERFACE ISOSPI 16-QFN"
"IC, PULSE XFMR 1CT:1CT 350UH SMD","IC, PULSE XFMR 1CT:1CT 350UH SMD","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","350uH","","1.5kVrms","","","","","","Bourns Inc.","","","","","","","PT61018AAPEL-S","","","","","","","","","","","","","","","","","","","","","","Digikey","","","","","","PT61018AAPEL-SCT-ND","","","","","","","","","","","","","","","","","*","XFMR?","PULSE XFMR 1CT:1CT 350UH SMD"
"IC_AFE_LTC6811-2","","","","","","","","LTC6811-2","","","","","","","","","","","","","LTC6811HG-2#PBF-ND","","","","","","","","","","","","","","","","","","Linear Technology","LTC6811HG-2#PBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC MONITOR BATT STACK 48SSOP"
"IC_BAL_LTC3300-1","","","","","","","","LTC3300-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Linear Technology","LTC3300HLXE-1#PBF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC BATTERY BALANCER 48LQFP"
"IC_MUX_ADG731BCPZ","","","","","","","","ADG731BCPZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Analog Devices Inc.","ADG731BCPZ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","ADG731BCPZ-ND","","","","","","","","","","","","","","","","","","","*","U?","IC MULTIPLEXER 32X1 48LFCSP"
"IC_REG_MAX15062","","","","","","","","MAX15062","","","","","","","","","","","","","MAX15062BATA+TCT-ND","","","","","","","","","","","","","","","","","","Maxim Integrated","MAX15062BATA+T","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC REG BUCK 5V 0.3A SYNC 8-TDFN"
"IND 10UH POWDERED IRON 0.9A","1210","","","","","","","=Inductance","datasheet","http://www.toko.co.jp/products-murata/pdf/inductors/m_dfe322512c.pdf","","","","1.25A","0.9A","","","","420 mOhm Max","","","","","","","","","","0.047" (1.20mm)","","10µH","","","","","","","","Murata Electronics North America","1277AS-H-100M=P2","","","","","","","","","","","","","","","","","","","","","","","","","Shielded","","","","Digi-Key","","","490-10589-1-ND","","","","","","±20%","","","Wirewound","","","","","","","","","","","L?","10µH Shielded Wirewound Inductor 900mA 420 mOhm Max 1210 (3225 Metric)"
"IND 15UH 1.03A 220 MOHM","IND_BOURNS_SRR40","","","","","","","=Inductance","","","","","","820mA","1.03A","","","","20 mOhm Max","","","","","","","","","","0.079" (2.00mm)","","15µH","","","","","","","","Bourns Inc.","SRR4018-150Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","SRR4018-150YCT-ND","","","","","","±30%","","","Wirewound","","","","","","","","","","","L?","15µH Shielded Wirewound Inductor 1.03A 220 mOhm Max 1919 (4848 Metric)"
"IND 3.3UH FERRITE 1.04A","445-172964-1-ND","","Inductors, Coils, Chokes","","","","","47µH","http://product.tdk.com/en/catalog/datasheets/inductor_commercial_power_vls-cx_en.pdf","http://product.tdk.com/en/catalog/datasheets/inductor_commercial_power_vls-cx_en.pdf","","","","1.04A","1.37A","","","","170 mOhm Max","","","","","","","","-","1MHz","0.047" (1.20mm)","","47µH","","","","","","","","TDK Corporation","VLS201612CX-3R3M","","","","Ferrite","","","Surface Mount","","-40°C ~ 105°C","","","Nonstandard","","Cut Tape (CT)","","","","","1=0.43, 10=0.387, 50=0.3014, 100=0.2798, 500=0.24538, 1000=0.19803 (USD)","-","","","","RoHS Compliant","Shielded","0.079" L x 0.063" W (2.00mm x 1.60mm)","4000","","Digi-Key","2016","","445-172964-1-ND","","","","","","±20%","","","Wirewound","","","","","","","","","","","L?",""
"IND 560NH 2.1A 80 MOHM SMD","INDC2116X06N","","","","","","","="Value"","","","","","","","2.1A","","","","80 mOhm Max","","","","","","","","","","","","","","","","","","","","Wurth Electronics Inc.","74479977156","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","445-15776-1-ND","","","","","","","560nH","","","","","","","","","*","L?","560nH Shielded Multilayer Inductor 2.1A 80 mOhm Max 0806 (2016 Metric)"
"IND 6.8uH","NLFV32T-6R8M-EF/IND 6.8uH","","","","","","","6.8uH","","","","","","","260mA","","","","204 mOhm Max","","","","","","","","","","","","","","","","","","","","TDK Corporation","NLFV32T-6R8M-EF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","445-15776-1-ND","","","","","","","","","","","","","","","","","","","*","L?","6.8µH Shielded Wirewound Inductor 260mA 204 mOhm Max 1210 (3225 Metric)"
"LED_BLUE","DIOC1608X06N","","","","","","Blue","=Color","","","","","","","","","","20mA","","","160-1827-1-ND","","","","2.8V","","","","","","","","","","","","","","Lite-On Inc.","LTST-C193TBKT-5A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D?","LED BLUE CLEAR 0603 SMD"
"LED_GREEN","DIOC1608X06N","","","","","","Green","=Color","","","","","","","","","30mA","","","","","","","","2.0V","","","","","","","","","","","","","","Lite-On Inc.","LTST-C193KGKT-5A","","","","","","","","","","","0603","","","","","","","","","","","","","","","","","Digi-Key","","","160-1828-1-ND","","","","","","","","","","","","","","","","","","","","","D?","LED GREEN CLEAR 0603 SMD"
"LED_RED","DIOC1608X06N","","","","","","Red","=Color","","","","","","","","","30mA","","","","","","","","2.0V","","","","","","","","","","","","Lite-On Inc.","LTST-C191KRKT","","","","","","","","","","","","","0603","","","","","","","","","","","","","","","","","Digi-Key","","","160-1447-1-ND","","","","","","","","","","","","","","","","","","","","","D?","Red LED 0603"
"LM311 Comparator","SOIC8","","","","","","","COMPARATOR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Texas Instruments","LM311M/NOPB","","","","","","","","","","","","DTL, MOS, Open-Collector, Open-Emitter, RTL, TTL","","","","","","","","","","","","","","","","","","","Digi-Key","","","LM311MNS/NOPB-ND","","","","","","","","","","","","","","","","","","5 V ~ 36 V, ±2.5 V ~ 18 V","*","U?","IC VOLTAGE COMPARATOR 8-SOIC"
"LTC4417 Power Path IC","SSOP-24_GN","","","","","","","LTC4417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Linear Technology","LTC4417CGN#PBF","","","","","","","","","","","","","","","24-SSOP","","","","","","","","","","","","","","","","Digi-Key","","","LTC4417CGN#PBF-ND","","","","","","","","","","","","","","","","","","","*","U?","IC OR CTRLR SRC SELECT 24SSOP"
"MOSFET-N","N-CH MOSFET SOT-23","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Diodes Incorporated","BSS138-7-F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","BSS138-FDICT-ND","","","","","","","","","","","Digi-Key","497-3177-1-ND","","","","","","","*","Q?","MOSFET N-CH 50V 200MA SOT23-3"
"MOSFET-N High Current","BUK9880 N-MOSFET 7A","","","","","","","N-MOSFET","","","","","","","","","","","","","","","55V","","","","","","","","","","","","","","Nexperia USA Inc.","BUK9880-55A/CUX","","","","","","","","","","","","","","","","","","","","","","","73 mOhm @ 8A, 10V","","","","","","","","Digi-Key","","","1727-2230-1-ND","","","","","","","","","","","","","+-15V","","","","","","*","Q?","MOSFET N-CH 55V 7A SOT223"
"MOSFET-P","P-MOSFET","","","","","","","MOSFET-P","","","","","4A (Ta)","","","","","","","","","","30V","MOSFET P-Channel, Metal Oxide","","","","","","","","","","","","","STMicroelectronics","STT4P3LLH6","","","","","","","","","","","","","SOT-23-6","","","","","","","","","","","","","","","","","","Digi-Key","","","497-15521-1-ND","","","","","","","","","","","Digi-Key","497-15521-1-ND","","","","","","","","Q?","MOSFET P-CH 30V 4A SOT23-6"
"MicroSD_Reader","MicroSD_reader","","","","","","","MicroSD_Reader","","","","","","","","","","","","","","114-00841-68-1-ND","","","","","","","","","","","","","","","","","","","114-00841-68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","P?","CONN MICRO SD CARD PUSH-PULL R/A"
"POT, 20k 1/4W 20%","20K POT","Top","","","","","","POT, 20k 1/4W 20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TT Electronics/BI","23BR20KLFTR","","","","","","","","","","","","","","","","","","1/4W","","","","","","","","","","","","","Digi-Key","","","987-1016-1-ND","","","","","","","20%","1","","20K","","","","","","","","","","R?","20k Ohm 0.25W, 1/4W Gull Wing Surface Mount Trimmer Potentiometer"
"RES 0.0 OHM 1/4W 0603","RESC1608X06N","","","","","","","0R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vishay Dale","CRCW06030000Z0EAHP","","","","","","","","","","","","","0603","","","","","","","0.25","","","","0.0","","","","","","","Digi-Key","","","541-0.0SBCT-ND","","","","","","","","","","","","","","","","","","","*","R?","RES SMD 0.0 OHM JUMPER 1/4W 0603"
"RES 100K OHM 1/8W 5% 0603 SMD","RESC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yageo","","","","RC0603JR-07100KL","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","311-100KGRCT-ND","","","","","","","100K","","","","","","","","","","R?","RES SMD 100K OHM 5% 1/10W 0603"
